N	1bwnngram	1bwsglm	1bwsnngram	1bwssbobaco
1000	415	408	152	111
2000	595	598	181	138
4000	873	265	242	187
8000	845	153	343	264
16000	1130	243	457	350
32000	1518	368	558	429
64000	1704	520	614	482
128000	1781	675	643	514
256000	1548	765	629	515
512000	1325	783	584	490
1024000	1126	755	524	450
2048000	913	690	455	400
4096000	727	604	388	349
8192000	570	516	326	300
16384000	446	432	272	254
32768000	349	358	225	214
65536000	337	296	187	180
131072000	267	243	178	172
262144000	215	198	nan	nan
524288000	171	160	nan	nan
1048576000	nan	81	nan	nan
