N	Nngram	Sngram	Sbobaco	Sglm	srilm
1000	0	-2	-2	-2	nan
2000	0	1	1	1	nan
4000	0	-70	-70	-70	nan
8000	0	-70	-82	-78	nan
16000	0	-64	-78	-76	nan
32000	0	-62	-76	-74	nan
64000	0	-50	-69	-68	-94
128000	0	-37	-62	-62	nan
256000	0	-21	-51	-52	nan
512000	0	-16	-41	-46	-83
1024000	0	-12	-33	-42	-75
2048000	0	-6	-24	-36	-73
4096000	0	0	-17	-30	-63
8192000	0	6	-10	-23	nan
16384000	0	11	-3	-15	-34
32768000	0	15	2	-6	-20
65536000	0	-3	-12	-14	-24
131072000	0	0	-9	-4	-12
262144000	0	0	-8	7	2
524288000	0	0	-7	22	13
