N	W5Tt5	W100Tt5	W100Tt2	W100Tt2bobaco
1000	20	23	408	408
2000	39	40	598	598
4000	51	82	265	265
8000	67	75	183	153
16000	98	122	272	243
32000	150	179	396	368
64000	225	279	546	520
128000	312	402	670	675
256000	394	524	738	765
512000	460	582	710	783
1024000	488	597	655	755
2048000	490	583	585	690
4096000	471	544	510	604
8192000	436	494	441	516
16384000	396	438	380	432
32768000	354	385	329	358
65536000	315	338	289	296
131072000	282	298	256	243
262144000	253	264	230	198
524288000	229	nan	209	160
1048576000	nan	nan	169	81
