N	1bwnngram	1bwsglm	1bwsnngram	1bwssglm
1000	413	nan	160	130
2000	548	nan	210	168
4000	926	nan	262	218
8000	1018	178	384	323
16000	1283	279	532	417
32000	1812	435	678	521
64000	2084	608	820	609
128000	2124	862	1045	761
256000	2370	973	1250	894
512000	2530	1199	1466	1027
1024000	2708	1280	1557	1090
2048000	2765	1363	1530	1079
4096000	2840	1407	1497	1065
8192000	2700	1478	1465	1063
16384000	2551	1393	1364	1022
32768000	2303	1361	1322	1019
65536000	2217	1318	1240	988
131072000	1996	1241	1216	974
262144000	1910	1188	nan	nan
524288000	1749	1109	nan	nan
1048576000	nan	1069	nan	nan
