N	1bwnngram	1bwsglm	1bwsnngram	1bwssglm
1000	421	380	105	91
2000	466	516	135	117
4000	703	241	183	161
8000	693	130	293	247
16000	955	198	429	342
32000	1357	314	622	477
64000	1800	472	803	606
128000	2137	738	1031	740
256000	2283	927	1139	810
512000	2364	1097	1301	914
1024000	2435	1136	1330	937
2048000	2486	1483	1398	971
4096000	2265	1146	1319	938
8192000	1868	1072	1201	877
16384000	1695	973	1152	855
32768000	1548	913	1090	826
65536000	1534	871	993	778
131072000	1372	827	981	776
262144000	1286	788	nan	nan
524288000	1232	758	nan	nan
1048576000	nan	728	nan	nan
