N	1bwnngram	1bwsglm	1bwsnngram	1bwssbobaco
1000	398	392	121	88
2000	518	547	144	110
4000	715	255	189	150
8000	692	137	277	221
16000	928	208	389	307
32000	1251	307	522	411
64000	1490	453	631	505
128000	1673	606	740	597
256000	1706	725	816	666
512000	1647	806	847	703
1024000	1607	819	856	720
2048000	1487	805	836	715
4096000	1369	784	805	700
8192000	1226	748	758	669
16384000	1095	706	709	633
32768000	985	663	659	595
65536000	947	627	613	560
131072000	838	nan	602	552
262144000	773	nan	nan	nan
524288000	724	542	nan	nan		
